"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"152996",76781,"Sergey Matviyenko","M",28,187,97,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Heavyweight, Greco-Roman",NA
"155582",78105,"Vitaly Medvedev","M",19,173,64,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's 100 metres",NA
"155583",78105,"Vitaly Medvedev","M",23,173,64,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 100 metres",NA
"156144",78415,"Yevgeny Vasilyevich Meleshchenko","M",23,185,75,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 400 metres Hurdles",NA
"156145",78415,"Yevgeny Vasilyevich Meleshchenko","M",27,185,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's 400 metres Hurdles",NA
"156297",78495,"Yury Vasilyevich Melnichenko","M",24,167,58,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Gold"
"156298",78495,"Yury Vasilyevich Melnichenko","M",28,167,58,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Featherweight, Greco-Roman",NA
"156380",78534,"Roman Sergeyevich Melyoshin","M",25,175,74,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"156816",78771,"Aleksandr Menshikov","M",24,174,70,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"157907",79269,"Fyodor Vladimirovich Mezentsev","M",24,182,80,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 1,000 metres",NA
"157908",79269,"Fyodor Vladimirovich Mezentsev","M",24,182,80,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 1,500 metres",NA
"158235",79446,"Angelina Michshuk","F",24,155,54,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Shooting","Shooting Women's Skeet",NA
"158654",79646,"Larisa Valeryevna Mikhaylova","F",23,170,67,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Water Polo","Water Polo Women's Water Polo",NA
"158671",79658,"Elina Dmitriyevna Mikhina","F",22,170,55,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 400 metres",NA
"158690",79671,"Irina Mikitenko (Volynskaya-)","F",23,162,47,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 5,000 metres",NA
"160724",80653,"Andrey Anatolyevich Mizurov","M",31,171,68,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Road Race, Individual",NA
"160725",80653,"Andrey Anatolyevich Mizurov","M",35,171,68,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Cycling","Cycling Men's Road Race, Individual",NA
"160726",80653,"Andrey Anatolyevich Mizurov","M",35,171,68,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Cycling","Cycling Men's Individual Time Trial",NA
"161486",81068,"Ilya Vladimirovich Mokretsov","M",32,177,74,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Fencing","Fencing Men's Sabre, Individual",NA
"164746",82733,"Anna Mozhar","F",22,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Archery","Archery Women's Individual",NA
"164747",82733,"Anna Mozhar","F",22,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Archery","Archery Women's Team",NA
"165191",82952,"Margarita Yevgenyevna Mukashova (Matsko-)","F",26,165,50,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 800 metres",NA
"165192",82952,"Margarita Yevgenyevna Mukashova (Matsko-)","F",30,165,50,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 800 metres",NA
"165209",82964,"Zhasulan Mukhtarbekuly","M",24,166,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Featherweight, Freestyle",NA
"165668",83207,"Marina Vladimirovna Mulyayeva","F",19,177,65,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Women's 200 metres Individual Medley",NA
"165669",83207,"Marina Vladimirovna Mulyayeva","F",23,177,65,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Women's 200 metres Individual Medley",NA
"165670",83207,"Marina Vladimirovna Mulyayeva","F",27,177,65,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 50 metres Freestyle",NA
"165747",83252,"Daniyar Munaytbasov","M",24,178,67,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Welterweight",NA
"166132",83445,"Samat Muratov","M",20,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Diving","Diving Men's Platform",NA
"166176",83454,"Vyacheslav Muravyov","M",26,180,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's 200 metres",NA
"166177",83454,"Vyacheslav Muravyov","M",30,180,70,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's 200 metres",NA
"166722",83747,"Marid Kamilyevich Mutalimov","M",24,187,120,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",NA
"166723",83747,"Marid Kamilyevich Mutalimov","M",28,187,120,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle","Bronze"
"167057",83931,"Ruslan Myrsatayev","M",23,185,97,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Super-Heavyweight",NA
"168337",84587,"Olga Vladimirovna Nasedkina","F",25,191,75,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"168588",84731,"Irina Vladimirovna Naumenko-Karpova","F",20,179,64,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Heptathlon",NA
"168589",84731,"Irina Vladimirovna Naumenko-Karpova","F",24,179,64,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Heptathlon",NA
"168590",84731,"Irina Vladimirovna Naumenko-Karpova","F",28,179,64,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Heptathlon",NA
"168591",84731,"Irina Vladimirovna Naumenko-Karpova","F",32,179,64,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Heptathlon",NA
"168592",84732,"Sergey Konstantinovich Naumik","M",28,181,74,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"168593",84732,"Sergey Konstantinovich Naumik","M",28,181,74,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",NA
"168594",84732,"Sergey Konstantinovich Naumik","M",28,181,74,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 12.5 kilometres Pursuit",NA
"168595",84732,"Sergey Konstantinovich Naumik","M",28,181,74,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 20 kilometres",NA
"168596",84732,"Sergey Konstantinovich Naumik","M",28,181,74,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"169235",85077,"Konstantin Yuryevich Negodyayev","M",28,196,95,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Canadian Singles, 500 metres",NA
"169236",85077,"Konstantin Yuryevich Negodyayev","M",28,196,95,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"169237",85077,"Konstantin Yuryevich Negodyayev","M",32,196,95,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",NA
"169238",85077,"Konstantin Yuryevich Negodyayev","M",32,196,95,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Canoeing","Canoeing Men's Canadian Doubles, 1,000 metres",NA
"169394",85159,"Irina Sergeyevna Nekrasova","F",20,168,63,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Weightlifting","Weightlifting Women's Middleweight","Silver"
"169649",85281,"Aleksandra Nemich","F",21,168,46,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Synchronized Swimming","Synchronized Swimming Women's Duet",NA
"169650",85282,"Yekaterina Nemich","F",21,169,50,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Synchronized Swimming","Synchronized Swimming Women's Duet",NA
"170236",85544,"Andrey Igorevich Nevzorov","M",28,184,78,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10 kilometres",NA
"170237",85544,"Andrey Igorevich Nevzorov","M",28,184,78,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"170238",85544,"Andrey Igorevich Nevzorov","M",28,184,78,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"170239",85544,"Andrey Igorevich Nevzorov","M",28,184,78,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"170240",85544,"Andrey Igorevich Nevzorov","M",32,184,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 10 kilometres",NA
"170241",85544,"Andrey Igorevich Nevzorov","M",32,184,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"170242",85544,"Andrey Igorevich Nevzorov","M",32,184,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"170243",85544,"Andrey Igorevich Nevzorov","M",32,184,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"170244",85544,"Andrey Igorevich Nevzorov","M",32,184,78,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"170245",85544,"Andrey Igorevich Nevzorov","M",36,184,78,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"170246",85544,"Andrey Igorevich Nevzorov","M",36,184,78,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"170247",85544,"Andrey Igorevich Nevzorov","M",36,184,78,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 10/10 kilometres Pursuit",NA
"170248",85544,"Andrey Igorevich Nevzorov","M",36,184,78,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"171512",86187,"Kseniya Nikandrova","F",21,181,71,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"171547",86203,"Denis Andreyevich Nikisha","M",18,178,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 1,500 metres",NA
"171548",86203,"Denis Andreyevich Nikisha","M",18,178,72,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",NA
"171562",86210,"Igor Valeryevich Nikitin","M",24,188,90,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"172343",86587,"Daulet Shorayevich Niyazbekov","M",23,176,55,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Featherweight, Freestyle",NA
"172346",86589,"Adilbek Sabitovich Niyazymbetov","M",23,180,81,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Light-Heavyweight","Silver"
"172347",86589,"Adilbek Sabitovich Niyazymbetov","M",27,180,81,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Men's Light-Heavyweight","Silver"
"172348",86590,"Bolat Kenesbekovich Niyazymbetov","M",23,172,63,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Boxing","Boxing Men's Light-Welterweight","Bronze"
"173916",87367,"Kelbet Nurgazina","F",22,160,48,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Judo","Judo Women's Extra-Lightweight",NA
"173934",87380,"Liya Asylbekovna Nurkina","F",23,171,67,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Taekwondo","Taekwondo Women's Welterweight",NA
"173936",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",18,185,78,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",NA
"173937",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",18,185,78,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Canadian Doubles, 1,000 metres",NA
"173938",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",23,185,78,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Canoeing","Canoeing Men's Canadian Singles, 500 metres",NA
"173939",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",23,185,78,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"173940",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",27,185,78,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Canoeing","Canoeing Men's Canadian Singles, 500 metres",NA
"173941",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",27,185,78,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"173942",87382,"Kaysar Yelyubayevich Nurmaganbetov","M",31,185,78,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",NA
"173978",87396,"Anna Sagtanovna Nurmukhambetova","F",18,165,69,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Women's Light-Heavyweight",NA
"174385",87577,"Slavik Nyu","M",30,175,94,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Weightlifting","Weightlifting Men's Middle-Heavyweight",NA
"175161",88021,"Maksim Anatolyevich Odnodvortsev","M",21,173,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"175162",88021,"Maksim Anatolyevich Odnodvortsev","M",21,173,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"175163",88021,"Maksim Anatolyevich Odnodvortsev","M",21,173,67,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"175164",88021,"Maksim Anatolyevich Odnodvortsev","M",25,173,67,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"175165",88021,"Maksim Anatolyevich Odnodvortsev","M",25,173,67,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"175166",88021,"Maksim Anatolyevich Odnodvortsev","M",25,173,67,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"175167",88021,"Maksim Anatolyevich Odnodvortsev","M",25,173,67,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"175473",88194,"Andrey Gennadyevich Ogorodnikov","M",23,178,78,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"175975",88456,"Aleksandr Okhramenko","M",25,NA,64,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Weightlifting","Weightlifting Men's Featherweight",NA
"176600",88801,"Larisa Olkhina","F",31,170,63,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Women's Water Polo",NA
"177585",89253,"Aleksandra Opachanova","F",19,167,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing Women's Lightweight Double Sculls",NA
"177792",89351,"Askar Sabalakovich Orazalinov","M",39,180,90,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Water Polo","Water Polo Men's Water Polo",NA
"177793",89352,"Olzhas Orazaliyev","M",20,182,81,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Light-Heavyweight",NA
"177794",89353,"Bauyrzhan Amangeldovich Orazgaliyev","M",19,162,60,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Featherweight, Freestyle",NA
"177795",89353,"Bauyrzhan Amangeldovich Orazgaliyev","M",23,162,60,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Lightweight, Freestyle",NA
"178592",89759,"Stanislav Aleksandrovich Osinsky","M",20,189,83,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Backstroke",NA
"178593",89759,"Stanislav Aleksandrovich Osinsky","M",24,189,83,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 100 metres Backstroke",NA
"180414",90672,"Yury Pakhlyayev","M",25,188,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's High Jump",NA
"181125",91034,"Aleksey Ivanovich Panfili","M",38,198,98,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"181334",91138,"Anton Dmitriyevich Pantov","M",22,187,77,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"181335",91138,"Anton Dmitriyevich Pantov","M",22,187,77,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",NA
"181336",91138,"Anton Dmitriyevich Pantov","M",22,187,77,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 20 kilometres",NA
"181337",91138,"Anton Dmitriyevich Pantov","M",22,187,77,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"181338",91139,"Dmitry Anatolyevich Pantov","M",24,190,85,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"181339",91139,"Dmitry Anatolyevich Pantov","M",24,190,85,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Biathlon","Biathlon Men's 20 kilometres",NA
"181340",91139,"Dmitry Anatolyevich Pantov","M",28,190,85,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"181341",91139,"Dmitry Anatolyevich Pantov","M",28,190,85,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 20 kilometres",NA
"181342",91139,"Dmitry Anatolyevich Pantov","M",28,190,85,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"181343",91139,"Dmitry Anatolyevich Pantov","M",32,190,85,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"181344",91139,"Dmitry Anatolyevich Pantov","M",32,190,85,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Biathlon","Biathlon Men's 20 kilometres",NA
"181855",91408,"Tatyana Parfyonova","F",23,181,82,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"181856",91409,"Yelena Parfyonova","F",26,171,59,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Triple Jump",NA
"181857",91409,"Yelena Parfyonova","F",34,171,59,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Triple Jump",NA
"182704",91836,"Yelena Partova","F",22,185,79,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"182766",91856,"Aleksandr ""Alex"" Parygin","M",23,180,75,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Modern Pentathlon","Modern Pentathlon Men's Individual","Gold"
"183667",92317,"Kirill Anatolyevich Pavlov","M",25,173,77,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Men's Middleweight",NA
"183700",92330,"Yelena Vyacheslavovna Pavlova (-Zhitkeyeva)","F",29,184,70,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"183993",92467,"Aleksey Alekseyevich Pchelintsev","M",22,182,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"183994",92467,"Aleksey Alekseyevich Pchelintsev","M",22,182,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"183996",92469,"Andrey Vladimirovich Pchelyakov","M",25,181,79,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"183997",92469,"Andrey Vladimirovich Pchelyakov","M",33,181,79,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"186189",93613,"Yelena Pershina","F",32,175,60,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's Long Jump",NA
"186190",93613,"Yelena Pershina","F",36,175,60,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Long Jump",NA
"186200",93617,"Olesya Persidskaya","F",23,165,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Women's Giant Slalom",NA
"186201",93617,"Olesya Persidskaya","F",23,165,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Women's Slalom",NA
"186414",93726,"Igor Peshkov","M",31,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Men's Heavyweight",NA
"188772",94830,"Marina Pikalova","F",23,163,52,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball",NA
"188863",94870,"Anastasiya Olegovna Pilipenko (Vinogradova-)","F",21,174,55,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 100 metres Hurdles",NA
"188864",94870,"Anastasiya Olegovna Pilipenko (Vinogradova-)","F",25,174,55,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 100 metres Hurdles",NA
"188865",94870,"Anastasiya Olegovna Pilipenko (Vinogradova-)","F",29,174,55,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 100 metres Hurdles",NA
"188866",94871,"Olga Mikhaylovna Pilipova","F",20,175,63,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Archery","Archery Women's Individual",NA
"190127",95499,"Yelena Plotnikova","F",23,161,50,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Archery","Archery Women's Individual",NA
"190364",95606,"Vyacheslav Sergeyevich Podlesny","M",34,156,76,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Shooting","Shooting Men's Air Pistol, 10 metres",NA
"190365",95606,"Vyacheslav Sergeyevich Podlesny","M",34,156,76,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Shooting","Shooting Men's Free Pistol, 50 metres",NA
"190377",95615,"Svetlana Nikolayevna Podobedova","F",26,165,75,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Weightlifting","Weightlifting Women's Heavyweight","Gold"
"190391",95624,"Irina Dmitriyevna Podoynikova","F",28,166,65,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",NA
"190392",95624,"Irina Dmitriyevna Podoynikova","F",28,166,65,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Fours, 500 metres",NA
"190400",95629,"Aleksandra Podryadova","F",23,160,48,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Judo","Judo Women's Extra-Lightweight",NA
"190808",95844,"Fyodor Vasilyevich Polishchuk","M",26,174,71,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"191034",95934,"Aleksey Yuryevich Poltoranin","M",18,186,73,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"191035",95934,"Aleksey Yuryevich Poltoranin","M",22,186,73,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's Sprint",NA
"191036",95934,"Aleksey Yuryevich Poltoranin","M",22,186,73,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"191037",95934,"Aleksey Yuryevich Poltoranin","M",22,186,73,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
